Bright Pixel (ADU),Bias Shift (ADU),RAFTNAME,LSST_NUM,RUNNUM,EXTNAME,IMAGETAG,Filename
26979.0,2.6831011010800383,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment06,d61299356aeddf3e,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000217/MC_C_20211114_000217_R11_S02.fits
26823.0,4.138137583270858,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment05,d61299356aeddf3e,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000217/MC_C_20211114_000217_R11_S02.fits
26682.0,2.6147114592422027,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment04,d61299356aeddf3e,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000217/MC_C_20211114_000217_R11_S02.fits
26772.0,2.29357763011041,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment03,d61299356aeddf3e,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000217/MC_C_20211114_000217_R11_S02.fits
26684.0,1.5977270102867296,LCA-11021_RTM-020,E2V-CCD250-359,13073,Segment14,7359d5d1a7f9e857,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211119/MC_C_20211119_000219/MC_C_20211119_000219_R11_S02.fits
26521.0,2.8645285149819952,LCA-11021_RTM-020,E2V-CCD250-359,13073,Segment05,7359d5d1a7f9e857,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211119/MC_C_20211119_000219/MC_C_20211119_000219_R11_S02.fits
26825.0,3.1911281490503494,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment05,943d5b7ce8a2a7a3,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000214/MC_C_20211114_000214_R11_S02.fits
26684.0,3.187852410963141,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment04,943d5b7ce8a2a7a3,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000214/MC_C_20211114_000214_R11_S02.fits
26773.0,3.247513175131453,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment03,943d5b7ce8a2a7a3,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000214/MC_C_20211114_000214_R11_S02.fits
26480.0,1.1755851733251554,LCA-11021_RTM-020,E2V-CCD250-359,13073,Segment12,62a636a25b81bbbe,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211120/MC_C_20211120_000096/MC_C_20211120_000096_R11_S02.fits
26686.0,1.2247587639124546,LCA-11021_RTM-020,E2V-CCD250-359,13073,Segment14,62a636a25b81bbbe,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211120/MC_C_20211120_000096/MC_C_20211120_000096_R11_S02.fits
26523.0,2.687945904267443,LCA-11021_RTM-020,E2V-CCD250-359,13073,Segment05,62a636a25b81bbbe,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211120/MC_C_20211120_000096/MC_C_20211120_000096_R11_S02.fits
26686.0,1.298327021199646,LCA-11021_RTM-020,E2V-CCD250-359,13073,Segment14,d8f24594738bd32d,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211119/MC_C_20211119_000303/MC_C_20211119_000303_R11_S02.fits
26522.0,2.950306344320006,LCA-11021_RTM-020,E2V-CCD250-359,13073,Segment05,d8f24594738bd32d,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211119/MC_C_20211119_000303/MC_C_20211119_000303_R11_S02.fits
26411.0,2.1213059505763177,LCA-11021_RTM-020,E2V-CCD250-359,13073,Segment04,d8f24594738bd32d,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211119/MC_C_20211119_000303/MC_C_20211119_000303_R11_S02.fits
26659.0,1.9131171330065808,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment15,29b9628dd0e7fe6a,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000226/MC_C_20211114_000226_R11_S02.fits
26824.0,4.018574150558763,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment05,29b9628dd0e7fe6a,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000226/MC_C_20211114_000226_R11_S02.fits
26854.0,2.4559913477560515,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment02,29b9628dd0e7fe6a,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000226/MC_C_20211114_000226_R11_S02.fits
26198.0,1.576752931005701,LCA-11021_RTM-020,E2V-CCD250-359,13073,Segment13,bf10410b75e4b559,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211120/MC_C_20211120_000004/MC_C_20211120_000004_R11_S02.fits
26486.0,2.5990457250250203,LCA-11021_RTM-020,E2V-CCD250-359,13073,Segment03,bf10410b75e4b559,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211120/MC_C_20211120_000004/MC_C_20211120_000004_R11_S02.fits
26525.0,2.938225240309522,LCA-11021_RTM-020,E2V-CCD250-359,13073,Segment05,b9dfadea1e0dfd38,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211119/MC_C_20211119_000291/MC_C_20211119_000291_R11_S02.fits
26776.0,2.2645452260012693,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment12,9113c31b80c75f55,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000211/MC_C_20211114_000211_R11_S02.fits
27006.0,1.832801686559884,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment14,9113c31b80c75f55,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000211/MC_C_20211114_000211_R11_S02.fits
26824.0,3.695386311315808,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment05,9113c31b80c75f55,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000211/MC_C_20211114_000211_R11_S02.fits
26684.0,3.497278997385459,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment04,9113c31b80c75f55,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000211/MC_C_20211114_000211_R11_S02.fits
26772.0,2.702409033806949,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment03,9113c31b80c75f55,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000211/MC_C_20211114_000211_R11_S02.fits
26855.0,1.8647448340526924,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment02,9113c31b80c75f55,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000211/MC_C_20211114_000211_R11_S02.fits
