Bright Pixel (ADU),Bias Shift (ADU),RAFTNAME,LSST_NUM,RUNNUM,EXTNAME,IMAGETAG,Filename
26661.0,1.4794021101446027,LCA-11021_RTM-020,E2V-CCD250-359,13053,Segment15,8b19c642ee0f8d1c,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000117/MC_C_20211117_000117_R11_S02.fits
26983.0,1.6042682192252065,LCA-11021_RTM-020,E2V-CCD250-359,13053,Segment06,8b19c642ee0f8d1c,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000117/MC_C_20211117_000117_R11_S02.fits
26824.0,3.673399905080748,LCA-11021_RTM-020,E2V-CCD250-359,13053,Segment05,8b19c642ee0f8d1c,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000117/MC_C_20211117_000117_R11_S02.fits
61580.0,1.499371917735618,LCA-11021_RTM-021,ITL-3800C-355,13049,Segment11,4f4e150face2bc46,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000073/MC_C_20211117_000073_R41_S02.fits
62603.0,6.174660228736841,LCA-11021_RTM-021,ITL-3800C-355,13049,Segment16,4f4e150face2bc46,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000073/MC_C_20211117_000073_R41_S02.fits
63372.0,1.05520159427095,LCA-11021_RTM-021,ITL-3800C-355,13049,Segment00,4f4e150face2bc46,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000073/MC_C_20211117_000073_R41_S02.fits
50635.0,1.1127503975720299,LCA-10692_CRTM-0002,ITL-3800C-337,13049,Segment17,4f4e150face2bc46,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000073/MC_C_20211117_000073_R00_SG1.fits
52842.0,2.3653572542926296,LCA-11021_RTM-011,ITL-3800C-083,13049,Segment10,4f4e150face2bc46,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000073/MC_C_20211117_000073_R01_S00.fits
58349.0,1.6384952271555464,LCA-11021_RTM-023,ITL-3800C-438,13049,Segment11,4f4e150face2bc46,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000073/MC_C_20211117_000073_R10_S12.fits
26630.0,1.739716390759322,LCA-11021_RTM-006,E2V-CCD250-217,13049,Segment13,31b1dba7e727bef6,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000046/MC_C_20211117_000046_R14_S22.fits
26978.0,3.3304961038681116,LCA-11021_RTM-020,E2V-CCD250-359,13049,Segment06,31b1dba7e727bef6,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000046/MC_C_20211117_000046_R11_S02.fits
26827.0,3.1521482092898,LCA-11021_RTM-020,E2V-CCD250-359,13049,Segment05,31b1dba7e727bef6,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000046/MC_C_20211117_000046_R11_S02.fits
26685.0,3.6329923195802505,LCA-11021_RTM-020,E2V-CCD250-359,13049,Segment04,31b1dba7e727bef6,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000046/MC_C_20211117_000046_R11_S02.fits
